2024/2025 Semester 1 Final Teaching Timetable,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
BIUST - AUDITORIUM,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,MATH 101 Lecture ENGINEERING,MATH 101 LECTURE SCIENCE,CHEM 101 LECTURE ENGINEERING,CETG 111 LECTURE,
0900-0950,,,,,CHEM 101 Lecture ENGINEERING
1000-1050,CHEM 205 Lecture,PHYS 101 LECTURE ENGINEERING,MATH 101 LECTURE ENGINEERING,MATH 101 Lecture SCIENCE,MMEE 210 LECTURE
1100-1150,BIOL 101 LECTURE,,,,
1200-1250,EEEN 211 LECTURE,COMP 101 ENGINEERING,PHYS 101 LECTURE SCIENCE,EEEN 211 LECTURE,GEOL 201 LECTURE
1300-1350,,,,,
1400-1450,CHEM 101 LECTURE SCIENCE,EMTH 201 LECTURE,COMP 101 SCIENCE,PHYS 101 Lecture ENGINEERING,EMTH 301 LECTURE
1500-1550,,,,BIOL 101 LECTURE,
1600-1650,COMP 211 LECTURE,BIOL 101 TUTORIAL EARTH,MECE 211 LECTURE,CHEM 101 Lecture SCIENCE,EMTH 201 Lecture
1700-1750,,EMTH 301 LECTURE,,EMTH 301 LECTURE,PHYS 101 Lecture SCIENCE
1800-1850,,,,,
1900-1950,,,,,
BIUST - PHYSICS SEMINAR ROOM,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,MATH 101 Lecture ENGINEERING,MATH 101 LECTURE SCIENCE,CHEM 101 LECTURE ENGINEERING,CETG 111 LECTURE,STAT 601 TUT
0900-0950,,,,,CHEM 101 Lecture ENGINEERING
1000-1050,MATH 411 Lecture,PHYS 101 LECTURE ENGINEERING,MATH 101 LECTURE ENGINEERING,MATH 101 Lecture SCIENCE,STAT 613 LECTURE
1100-1150,BIOL 101 LECTURE,,,,
1200-1250,EEEN 211 LECTURE,COMP 101 ENGINEERING,PHYS 101 LECTURE SCIENCE,EEEN 211 LECTURE,GEOL 201 LECTURE
1300-1350,,,,,
1400-1450,CHEM 101 LECTURE SCIENCE,EMTH 201 LECTURE,COMP 101 SCIENCE,FRSC 401 LECTURE,EMTH 301 LECTURE
1500-1550,,,,BIOL 101 LECTURE,
1600-1650,COMP 211 LECTURE,BIOL 101 TUTORIAL PA CHEM,MECE 211 LECTURE,CHEM 101 Lecture SCIENCE,EMTH 201 Lecture
1700-1750,,EMTH 301 LECTURE,,EMTH 301 LECTURE,PHYS 101 Lecture SCIENCE
1800-1850,,,,,
1900-1950,,,,,
